xcoord	ycoord	type
1858	193	skeleton
1838	186	skeleton
1806	176	seedling
1809	182	seedling
1859	199	seedling
1923	117	regrowth
1961	131	seedling
1973	136	regrowth
1991	169	skeleton
1949	174	seedling
1975	185	seedling
1910	103	seedling
1948	149	seedling
1944	150	seedling
1948	152	seedling
1940	162	seedling
2060	137	skeleton
2061	145	skeleton
2097	196	skeleton
2086	103	seedling
2109	122	skeleton
2191	120	skeleton
2164	125	skeleton
2236	134	skeleton
2284	141	rosette
2246	134	skeleton
2237	170	rosette
2294	176	seedling
2285	176	seedling
2344	103	seedling
2366	139	seedling
2313	157	rosette
2379	161	regrowth
2341	168	seedling
2444	107	regrowth
2437	165	skeleton
2479	179	seedling
2478	181	seedling
2486	186	seedling
2482	188	seedling
2491	188	seedling
2473	191	seedling
2441	150	seedling
2456	127	regrowth
2489	100	seedling
2564	183	skeleton
2509	175	seedling
2539	122	rosette
2698	177	regrowth
2609	148	skeleton
2613	158	skeleton
2698	116	seedling
2755	164	skeleton
2792	184	skeleton
2836	135	regrowth
2819	156	skeleton
2813	199	skeleton
2917	100	rosette
2923	195	rosette
2953	176	skeleton
2960	143	skeleton
2940	197	skeleton
2962	148	skeleton
28	296	seedling
30	295	seedling
112	292	skeleton
135	295	skeleton
275	213	skeleton
380	241	skeleton
471	226	skeleton
446	226	skeleton
441	234	skeleton
499	208	regrowth
475	299	skeleton
478	209	skeleton
540	204	regrowth
589	220	regrowth
500	217	skeleton
528	244	regrowth
527	234	skeleton
508	258	regrowth
561	283	skeleton
541	296	skeleton
607	216	skeleton
632	220	skeleton
693	229	regrowth
657	240	skeleton
645	274	skeleton
647	291	skeleton
628	288	skeleton
655	295	skeleton
664	289	seedling
665	229	skeleton
682	242	skeleton
740	201	skeleton
732	241	skeleton
731	270	skeleton
782	285	skeleton
761	285	regrowth
700	282	regrowth
771	299	skeleton
739	210	seedling
793	267	skeleton
872	200	rosette
998	275	rosette
907	234	rosette
1002	296	rosette
1062	209	skeleton
1042	236	skeleton
1053	242	skeleton
1040	273	skeleton
1071	296	seedling
1025	242	seedling
1179	216	skeleton
1192	229	rosette
1118	231	seedling
1183	249	skeleton
1161	260	skeleton
1171	260	skeleton
1130	285	skeleton
1278	200	regrowth
1249	290	skeleton
1375	203	rosette
1323	243	regrowth
1313	247	seedling
1327	252	seedling
1380	260	seedling
1552	266	seedling
1548	269	seedling
1549	271	seedling
1544	272	seedling
1538	276	seedling
1516	276	seedling
1510	271	seedling
1565	264	seedling
1576	277	seedling
1578	278	seedling
1579	279	seedling
1558	287	seedling
1563	289	seedling
1566	290	seedling
1568	290	seedling
1573	290	seedling
1571	292	seedling
1576	295	seedling
1573	253	seedling
1654	215	seedling
1697	250	skeleton
1644	285	skeleton
1610	224	seedling
1702	289	skeleton
1721	275	skeleton
1780	225	skeleton
1729	255	skeleton
1799	210	seedling
1848	202	skeleton
1843	220	skeleton
1845	221	seedling
1858	232	skeleton
1872	214	seedling
1882	211	seedling
1883	210	seedling
1899	205	seedling
1896	204	seedling
1850	212	seedling
1877	233	skeleton
1853	236	seedling
1854	237	seedling
1886	252	seedling
1880	253	seedling
1844	292	skeleton
1804	295	skeleton
1856	299	skeleton
1941	206	skeleton
1934	244	skeleton
1999	293	skeleton
1907	239	seedling
1954	236	seedling
2039	220	skeleton
2062	231	skeleton
2019	278	skeleton
2067	299	regrowth
2068	211	seedling
2064	244	seedling
2119	222	skeleton
2131	232	skeleton
2150	282	skeleton
2171	291	regrowth
2199	261	skeleton
2130	227	seedling
2285	276	skeleton
2219	266	skeleton
2250	279	skeleton
2246	224	seedling
2282	263	seedling
2378	233	skeleton
2377	251	seedling
2372	269	seedling
2374	276	seedling
2338	275	seedling
2334	276	seedling
2331	277	seedling
2330	278	seedling
2327	277	seedling
2327	278	seedling
2327	279	seedling
2330	280	seedling
2327	282	seedling
2324	284	seedling
2371	287	seedling
2377	287	seedling
2373	290	seedling
2310	285	seedling
2356	298	seedling
2364	298	seedling
2368	298	seedling
2371	298	seedling
2360	299	seedling
2365	299	seedling
2357	299	seedling
2407	274	regrowth
2439	299	rosette
2419	299	seedling
2467	255	rosette
2481	219	seedling
2530	271	skeleton
2527	270	rosette
2567	297	skeleton
2570	299	skeleton
2625	256	skeleton
2629	290	skeleton
2762	236	skeleton
2789	225	skeleton
2736	235	regrowth
2777	213	skeleton
2713	237	skeleton
2770	242	skeleton
2786	247	skeleton
2764	255	skeleton
2769	263	skeleton
2768	268	skeleton
2762	264	regrowth
2730	278	skeleton
2734	292	skeleton
2714	299	skeleton
2858	213	regrowth
2855	224	regrowth
2867	222	skeleton
2867	233	regrowth
2812	235	skeleton
2818	230	skeleton
2856	243	skeleton
2876	256	regrowth
2863	261	skeleton
2867	299	skeleton
2998	269	skeleton
2993	288	seedling
2968	286	regrowth
2942	214	regrowth
0	388	skeleton
394	346	skeleton
321	355	skeleton
359	372	skeleton
329	382	skeleton
339	381	skeleton
344	387	skeleton
310	388	skeleton
432	314	skeleton
428	318	skeleton
477	320	skeleton
423	331	skeleton
474	334	skeleton
467	348	skeleton
413	349	regrowth
444	355	skeleton
455	360	skeleton
445	387	skeleton
430	395	skeleton
475	340	regrowth
548	307	skeleton
578	307	skeleton
543	309	skeleton
540	338	skeleton
576	341	skeleton
536	331	seedling
577	358	skeleton
538	381	skeleton
566	399	skeleton
586	367	skeleton
573	344	skeleton
630	300	skeleton
629	349	skeleton
658	383	skeleton
648	384	skeleton
666	389	skeleton
787	315	regrowth
786	325	skeleton
727	327	skeleton
793	338	skeleton
744	369	regrowth
760	370	skeleton
780	377	skeleton
780	378	seedling
792	387	skeleton
820	311	regrowth
891	366	skeleton
814	392	skeleton
916	306	skeleton
978	309	skeleton
933	309	skeleton
915	398	seedling
967	396	seedling
945	323	seedling
1025	334	skeleton
1053	389	skeleton
1006	327	skeleton
1135	312	skeleton
1108	350	skeleton
1184	388	skeleton
1200	351	skeleton
1200	388	skeleton
1337	349	skeleton
1338	381	skeleton
1382	339	seedling
1377	337	seedling
1431	321	seedling
1582	315	skeleton
1562	333	seedling
1576	304	seedling
1666	321	skeleton
1661	399	skeleton
1727	326	skeleton
1761	371	skeleton
1791	387	skeleton
1776	396	skeleton
1835	351	skeleton
1834	360	skeleton
1880	377	skeleton
1899	382	skeleton
1870	392	skeleton
1810	394	skeleton
1800	399	skeleton
1990	302	skeleton
1953	344	skeleton
1996	362	regrowth
1962	387	skeleton
1913	378	regrowth
1956	389	skeleton
1946	399	regrowth
1943	398	regrowth
2039	318	skeleton
2021	319	skeleton
2024	323	skeleton
2054	344	regrowth
2016	371	seedling
2058	365	regrowth
2048	342	seedling
2054	312	seedling
2119	301	skeleton
2132	318	skeleton
2163	341	skeleton
2142	348	skeleton
2101	392	skeleton
2273	321	skeleton
2298	302	skeleton
2253	320	skeleton
2217	336	skeleton
2250	366	skeleton
2208	369	skeleton
2220	369	skeleton
2273	373	skeleton
2351	315	skeleton
2301	301	skeleton
2337	350	regrowth
2354	358	skeleton
2324	360	skeleton
2349	364	skeleton
2317	381	skeleton
2342	387	skeleton
2342	388	skeleton
2368	388	seedling
2338	395	skeleton
2364	397	skeleton
2319	396	skeleton
2377	397	seedling
2377	399	seedling
2412	305	seedling
2424	302	rosette
2425	310	rosette
2482	361	skeleton
2467	387	seedling
2429	392	rosette
2434	392	rosette
2420	396	rosette
2471	399	rosette
2407	330	rosette
2574	327	skeleton
2571	345	skeleton
2534	328	skeleton
2574	365	regrowth
2557	368	skeleton
2555	390	skeleton
2610	312	skeleton
2614	310	skeleton
2686	338	regrowth
2613	349	skeleton
2623	357	skeleton
2650	366	regrowth
2608	371	skeleton
2641	399	skeleton
2648	306	seedling
2617	360	skeleton
2722	339	skeleton
2700	346	skeleton
2740	341	skeleton
2751	342	skeleton
2716	368	skeleton
2720	369	seedling
2729	376	skeleton
2786	340	regrowth
2786	338	skeleton
2788	361	skeleton
2757	300	skeleton
2747	372	regrowth
2800	330	skeleton
2802	350	regrowth
2835	344	skeleton
2870	357	skeleton
2827	334	skeleton
2927	327	skeleton
2990	329	skeleton
2918	351	skeleton
2940	357	regrowth
2986	314	seedling
2986	383	seedling
2962	325	seedling
16	484	regrowth
106	489	seedling
105	474	seedling
199	424	seedling
331	409	skeleton
451	403	skeleton
440	411	skeleton
403	412	skeleton
465	440	skeleton
435	444	skeleton
475	451	skeleton
448	458	skeleton
400	465	skeleton
412	471	regrowth
423	477	skeleton
407	477	skeleton
404	493	skeleton
439	499	regrowth
430	478	skeleton
461	489	skeleton
494	494	skeleton
410	440	seedling
564	406	skeleton
575	400	skeleton
519	433	skeleton
503	452	skeleton
502	468	regrowth
501	474	skeleton
590	449	skeleton
545	466	regrowth
517	480	skeleton
530	479	skeleton
581	484	skeleton
533	485	skeleton
669	401	skeleton
625	418	skeleton
675	428	skeleton
680	427	skeleton
627	428	skeleton
626	432	skeleton
662	441	skeleton
648	443	skeleton
638	444	skeleton
668	447	skeleton
663	450	skeleton
608	450	skeleton
665	449	skeleton
683	459	skeleton
685	459	skeleton
697	463	skeleton
659	485	skeleton
607	485	skeleton
601	499	skeleton
657	491	skeleton
681	460	skeleton
653	418	skeleton
672	406	seedling
787	414	skeleton
785	412	skeleton
731	414	skeleton
724	423	skeleton
720	421	skeleton
749	440	skeleton
737	441	skeleton
792	459	skeleton
741	457	skeleton
752	472	skeleton
743	478	skeleton
799	495	skeleton
767	495	skeleton
758	488	skeleton
738	419	skeleton
824	418	skeleton
819	448	skeleton
813	483	skeleton
844	490	skeleton
841	495	skeleton
826	497	skeleton
818	499	skeleton
958	499	seedling
941	480	seedling
948	464	seedling
949	460	seedling
939	417	seedling
941	422	seedling
944	421	seedling
902	402	seedling
1054	481	skeleton
1059	483	skeleton
1082	426	rosette
1168	469	rosette
1286	410	skeleton
1280	414	skeleton
1268	417	skeleton
1243	418	skeleton
1279	429	skeleton
1289	436	skeleton
1267	496	seedling
1284	484	seedling
1248	451	seedling
1374	467	skeleton
1375	466	skeleton
1368	478	skeleton
1380	480	skeleton
1311	482	skeleton
1316	493	skeleton
1406	432	seedling
1561	435	skeleton
1530	476	skeleton
1505	497	skeleton
1560	492	skeleton
1591	489	skeleton
1581	495	skeleton
1590	499	skeleton
1537	467	skeleton
1503	420	seedling
1594	496	seedling
1682	412	skeleton
1635	419	skeleton
1671	440	skeleton
1638	445	skeleton
1625	474	skeleton
1667	476	regrowth
1667	477	skeleton
1645	484	skeleton
1652	488	skeleton
1655	496	skeleton
1640	499	skeleton
1771	403	skeleton
1725	405	skeleton
1765	412	skeleton
1783	416	skeleton
1756	419	skeleton
1712	435	skeleton
1719	440	skeleton
1734	451	regrowth
1878	419	skeleton
1837	422	skeleton
1857	441	skeleton
1896	468	skeleton
1841	486	skeleton
1886	486	skeleton
1980	411	skeleton
1941	436	skeleton
1972	439	skeleton
1941	439	skeleton
1993	444	skeleton
1999	447	skeleton
1936	462	skeleton
1977	468	skeleton
1982	472	skeleton
1982	474	skeleton
1971	481	skeleton
1990	482	skeleton
2019	407	skeleton
2007	411	skeleton
2051	417	skeleton
2015	419	skeleton
2081	446	skeleton
2050	452	skeleton
2061	453	skeleton
2086	464	regrowth
2054	471	skeleton
2005	476	skeleton
2059	486	skeleton
2079	491	skeleton
2002	492	skeleton
2024	493	skeleton
2082	497	skeleton
2098	494	skeleton
2015	448	skeleton
2108	403	skeleton
2169	428	skeleton
2197	440	skeleton
2184	468	skeleton
2197	471	skeleton
2116	477	skeleton
2131	487	skeleton
2125	491	skeleton
2127	493	skeleton
2119	494	skeleton
2120	427	rosette
2251	418	skeleton
2244	424	skeleton
2252	424	skeleton
2267	428	rosette
2276	435	skeleton
2256	438	skeleton
2284	447	skeleton
2283	445	skeleton
2279	462	skeleton
2271	466	skeleton
2276	473	skeleton
2228	488	seedling
2281	468	seedling
2328	413	skeleton
2361	486	regrowth
2380	406	rosette
2384	416	rosette
2387	426	seedling
2372	448	seedling
2392	485	seedling
2385	454	seedling
2434	499	regrowth
2476	474	rosette
2483	457	rosette
2467	456	seedling
2461	454	seedling
2464	454	seedling
2468	452	seedling
2483	452	rosette
2464	449	seedling
2479	447	seedling
2470	448	seedling
2468	447	seedling
2466	441	seedling
2465	440	seedling
2484	442	seedling
2485	437	seedling
2424	441	seedling
2460	436	seedling
2423	442	seedling
2462	429	rosette
2469	416	seedling
2471	415	seedling
2469	414	seedling
2467	402	rosette
2569	413	skeleton
2595	413	skeleton
2591	422	skeleton
2592	428	skeleton
2507	441	regrowth
2575	446	skeleton
2564	444	skeleton
2523	454	skeleton
2579	462	skeleton
2593	470	skeleton
2594	471	skeleton
2573	498	skeleton
2627	417	regrowth
2636	420	regrowth
2600	436	skeleton
2685	434	regrowth
2680	443	skeleton
2686	439	skeleton
2666	493	skeleton
2790	406	skeleton
2793	406	skeleton
2732	416	skeleton
2712	422	skeleton
2730	419	skeleton
2745	412	skeleton
2756	418	skeleton
2770	407	skeleton
2750	412	skeleton
2780	417	skeleton
2790	446	skeleton
2737	460	skeleton
2723	453	skeleton
2729	462	skeleton
2721	467	skeleton
2782	471	regrowth
2720	482	skeleton
2744	473	skeleton
2758	452	skeleton
2814	405	skeleton
2865	409	skeleton
2863	416	skeleton
2877	424	skeleton
2878	430	skeleton
2800	459	skeleton
2800	465	regrowth
2812	463	skeleton
2979	436	skeleton
2960	418	rosette
2951	426	seedling
2967	431	seedling
2967	436	seedling
2965	437	seedling
2960	442	seedling
2958	444	seedling
2915	487	seedling
58	593	skeleton
190	599	skeleton
290	556	skeleton
276	550	skeleton
291	556	skeleton
229	581	skeleton
237	591	skeleton
300	546	regrowth
300	548	skeleton
342	518	skeleton
375	554	regrowth
376	561	skeleton
379	597	regrowth
398	530	regrowth
400	516	skeleton
420	510	skeleton
420	515	skeleton
485	563	skeleton
487	568	skeleton
429	570	skeleton
469	588	skeleton
573	507	skeleton
548	514	skeleton
560	517	skeleton
528	526	skeleton
535	528	seedling
564	525	seedling
537	561	skeleton
523	565	skeleton
535	568	skeleton
528	570	skeleton
589	537	skeleton
650	509	skeleton
680	595	seedling
676	589	seedling
669	586	seedling
683	579	seedling
676	560	seedling
606	515	seedling
716	510	skeleton
770	520	skeleton
777	519	skeleton
770	519	skeleton
732	520	skeleton
757	526	skeleton
769	528	skeleton
708	545	skeleton
705	549	skeleton
828	526	skeleton
819	531	skeleton
802	528	skeleton
825	536	skeleton
817	552	skeleton
848	509	seedling
938	526	skeleton
924	530	skeleton
937	544	skeleton
968	547	skeleton
919	561	skeleton
917	503	skeleton
989	512	seedling
983	514	seedling
1008	594	skeleton
1036	599	rosette
1048	598	seedling
1052	598	rosette
1087	594	rosette
1086	591	seedling
1097	577	seedling
1095	552	seedling
1011	520	seedling
1158	524	rosette
1184	525	seedling
1290	508	skeleton
1293	515	skeleton
1240	589	skeleton
1273	591	skeleton
1253	527	seedling
1321	556	regrowth
1332	564	skeleton
1350	573	seedling
1354	571	seedling
1375	510	rosette
1476	563	skeleton
1423	577	skeleton
1485	578	skeleton
1477	583	rosette
1440	596	skeleton
1404	582	seedling
1522	526	skeleton
1520	527	skeleton
1511	539	skeleton
1553	541	skeleton
1576	542	skeleton
1575	541	skeleton
1573	591	skeleton
1558	595	skeleton
1581	595	skeleton
1504	577	seedling
1644	504	skeleton
1639	540	skeleton
1629	540	skeleton
1623	542	skeleton
1622	556	skeleton
1661	571	skeleton
1634	584	skeleton
1648	592	skeleton
1759	513	skeleton
1744	512	skeleton
1737	516	skeleton
1736	520	skeleton
1720	522	skeleton
1781	527	skeleton
1778	529	skeleton
1776	530	skeleton
1713	539	skeleton
1703	544	skeleton
1761	545	skeleton
1775	552	skeleton
1778	552	skeleton
1780	544	skeleton
1722	559	skeleton
1707	564	skeleton
1798	556	skeleton
1716	573	skeleton
1745	588	skeleton
1730	565	skeleton
1814	546	skeleton
1806	541	skeleton
1846	580	skeleton
1816	567	skeleton
1874	578	skeleton
1802	587	skeleton
1805	582	skeleton
1878	593	skeleton
1850	599	skeleton
1834	599	skeleton
1899	516	seedling
1899	513	seedling
1890	520	seedling
1892	522	seedling
1895	527	seedling
1898	547	rosette
1900	507	seedling
1901	509	seedling
1905	510	seedling
1910	509	rosette
1909	526	seedling
1925	523	rosette
1996	518	skeleton
1960	537	skeleton
1963	538	skeleton
1954	568	skeleton
1956	568	skeleton
1993	574	skeleton
1922	594	skeleton
1955	599	skeleton
2040	511	skeleton
2052	534	skeleton
2033	537	skeleton
2027	539	skeleton
2041	547	skeleton
2066	567	skeleton
2001	578	skeleton
2031	572	skeleton
2045	595	skeleton
2099	547	skeleton
2133	507	skeleton
2148	514	skeleton
2140	516	skeleton
2150	520	skeleton
2149	522	skeleton
2168	528	skeleton
2115	549	skeleton
2116	556	skeleton
2114	563	skeleton
2106	589	skeleton
2192	571	rosette
2166	559	skeleton
2290	508	skeleton
2251	509	skeleton
2267	530	skeleton
2232	550	skeleton
2260	589	rosette
2358	594	rosette
2336	581	seedling
2388	549	rosette
2416	510	skeleton
2422	517	skeleton
2433	502	seedling
2477	556	seedling
2563	543	skeleton
2548	583	skeleton
2531	593	skeleton
2539	529	rosette
2678	516	skeleton
2650	532	skeleton
2702	508	skeleton
2738	510	skeleton
2744	540	skeleton
2735	543	skeleton
2712	552	skeleton
2700	538	skeleton
2720	559	skeleton
2772	584	skeleton
2770	587	skeleton
2792	569	skeleton
2738	568	skeleton
2793	541	seedling
2879	517	skeleton
2800	576	skeleton
2983	537	skeleton
2980	574	skeleton
26	613	skeleton
58	682	skeleton
142	635	skeleton
147	627	skeleton
170	623	skeleton
189	600	skeleton
151	631	skeleton
181	676	skeleton
177	682	skeleton
178	683	skeleton
190	688	skeleton
176	626	skeleton
248	626	regrowth
279	626	regrowth
298	629	regrowth
243	630	skeleton
389	604	skeleton
337	614	skeleton
313	631	skeleton
400	614	skeleton
418	620	skeleton
474	631	skeleton
468	643	skeleton
464	696	skeleton
514	636	skeleton
661	619	seedling
667	617	seedling
668	624	seedling
684	625	seedling
680	628	seedling
686	634	seedling
683	638	rosette
661	643	seedling
676	649	seedling
654	681	rosette
790	686	seedling
749	667	seedling
770	640	seedling
889	668	skeleton
883	691	skeleton
874	698	skeleton
849	698	seedling
994	687	rosette
1085	600	rosette
1098	602	rosette
1048	602	rosette
1001	608	rosette
1038	619	rosette
1086	633	rosette
1048	642	rosette
1045	646	seedling
1064	654	seedling
1071	659	seedling
1054	662	rosette
1065	663	rosette
1038	662	skeleton
1051	671	seedling
1016	686	rosette
1198	676	skeleton
1131	699	skeleton
1104	602	skeleton
1164	690	seedling
1261	607	skeleton
1292	607	seedling
1203	696	seedling
1330	608	rosette
1390	633	skeleton
1367	635	skeleton
1481	653	skeleton
1423	652	skeleton
1429	655	skeleton
1492	675	skeleton
1418	629	seedling
1402	653	seedling
1520	605	skeleton
1500	620	skeleton
1507	627	skeleton
1509	630	skeleton
1574	600	skeleton
1573	639	skeleton
1547	649	skeleton
1586	651	skeleton
1503	664	skeleton
1538	669	skeleton
1569	686	skeleton
1564	690	skeleton
1618	611	skeleton
1616	623	skeleton
1660	642	skeleton
1626	644	skeleton
1624	652	skeleton
1626	652	skeleton
1618	646	skeleton
1667	645	skeleton
1635	636	skeleton
1679	656	skeleton
1616	642	skeleton
1688	666	skeleton
1627	660	skeleton
1646	665	skeleton
1621	666	skeleton
1673	658	skeleton
1651	686	skeleton
1657	697	seedling
1676	663	skeleton
1739	602	skeleton
1728	613	skeleton
1736	617	skeleton
1717	617	skeleton
1706	659	skeleton
1742	684	skeleton
1742	697	seedling
1822	607	skeleton
1800	642	skeleton
1848	638	skeleton
1834	662	skeleton
1823	680	skeleton
1847	682	skeleton
1890	698	rosette
1894	692	rosette
1866	636	seedling
1998	629	skeleton
1901	645	rosette
1914	654	seedling
1966	653	rosette
1945	641	seedling
1916	651	seedling
1914	652	seedling
1913	657	seedling
1925	666	rosette
1907	673	rosette
1935	667	rosette
1904	690	seedling
1902	699	seedling
1943	693	seedling
1944	698	seedling
1977	653	seedling
1956	659	seedling
1957	672	seedling
2032	624	skeleton
2003	634	skeleton
2062	652	skeleton
2079	642	skeleton
2098	655	skeleton
2090	601	skeleton
2078	607	skeleton
2106	621	skeleton
2143	612	skeleton
2156	624	skeleton
2180	645	skeleton
2145	677	skeleton
2159	681	skeleton
2161	633	rosette
2110	639	seedling
2100	641	seedling
2111	643	seedling
2279	628	skeleton
2285	625	skeleton
2230	622	skeleton
2231	607	skeleton
2246	615	skeleton
2217	643	skeleton
2298	690	skeleton
2299	681	skeleton
2299	649	seedling
2294	652	seedling
2279	650	seedling
2264	662	rosette
2269	662	rosette
2271	672	seedling
2292	671	seedling
2265	674	seedling
2270	675	rosette
2294	674	rosette
2275	677	rosette
2290	678	seedling
2294	680	seedling
2292	683	seedling
2288	692	seedling
2290	684	seedling
2278	686	seedling
2288	687	seedling
2288	691	seedling
2275	691	seedling
2364	610	skeleton
2325	670	skeleton
2317	673	skeleton
2305	680	skeleton
2302	692	regrowth
2307	638	rosette
2302	642	seedling
2312	647	rosette
2326	647	seedling
2318	649	seedling
2316	659	seedling
2307	676	seedling
2300	678	seedling
2304	699	skeleton
2414	651	skeleton
2443	668	skeleton
2460	678	skeleton
2463	679	skeleton
2450	685	regrowth
2422	698	regrowth
2447	685	seedling
2525	602	skeleton
2537	608	regrowth
2542	620	skeleton
2517	691	regrowth
2531	699	skeleton
2589	699	skeleton
2566	681	regrowth
2699	637	skeleton
2699	699	skeleton
2652	627	skeleton
2662	630	skeleton
2636	699	skeleton
2672	670	rosette
2659	671	seedling
2715	610	skeleton
2702	622	skeleton
2741	699	skeleton
2761	654	seedling
2756	654	seedling
2756	656	seedling
2753	650	seedling
2860	646	skeleton
2862	653	skeleton
2861	653	skeleton
2890	699	regrowth
2899	635	seedling
2889	636	seedling
2999	675	skeleton
2998	694	skeleton
2971	671	skeleton
2911	696	skeleton
2951	679	skeleton
2926	674	seedling
39	769	skeleton
108	722	skeleton
106	744	skeleton
144	794	skeleton
282	799	regrowth
247	716	rosette
303	770	skeleton
395	744	skeleton
401	725	skeleton
402	734	regrowth
420	785	skeleton
464	749	skeleton
635	712	seedling
622	724	seedling
650	731	seedling
654	732	rosette
644	734	seedling
624	743	seedling
628	743	seedling
654	750	seedling
634	757	seedling
619	789	seedling
648	793	seedling
769	764	skeleton
734	771	skeleton
789	777	skeleton
791	778	skeleton
774	783	skeleton
768	790	skeleton
728	795	skeleton
753	799	skeleton
723	708	seedling
772	704	seedling
882	707	skeleton
863	716	skeleton
854	725	skeleton
871	777	skeleton
893	793	skeleton
900	776	skeleton
987	726	seedling
979	727	seedling
999	731	seedling
962	735	seedling
971	742	seedling
970	743	seedling
979	745	seedling
957	747	seedling
960	748	seedling
961	749	seedling
942	764	skeleton
1116	711	skeleton
1131	761	rosette
1163	736	rosette
1292	795	seedling
1281	792	seedling
1247	791	seedling
1294	748	seedling
1302	764	rosette
1310	783	seedling
1302	787	seedling
1360	758	seedling
1321	704	rosette
1442	717	skeleton
1458	744	skeleton
1458	752	skeleton
1444	756	skeleton
1468	731	skeleton
1478	734	skeleton
1403	756	skeleton
1471	762	skeleton
1462	775	skeleton
1491	767	skeleton
1429	781	skeleton
1409	784	skeleton
1434	799	skeleton
1457	700	skeleton
1404	737	rosette
1502	710	skeleton
1575	708	skeleton
1570	710	skeleton
1549	727	skeleton
1598	738	skeleton
1518	752	seedling
1602	799	skeleton
1695	763	skeleton
1692	763	skeleton
1648	703	seedling
1679	702	seedling
1681	704	seedling
1650	714	seedling
1710	707	skeleton
1753	759	skeleton
1778	792	skeleton
1772	736	seedling
1771	734	seedling
1736	702	rosette
1817	706	skeleton
1858	731	skeleton
1822	739	skeleton
1828	752	skeleton
1887	700	rosette
1897	700	seedling
1889	710	rosette
1888	705	seedling
1886	717	rosette
1885	728	rosette
1899	743	seedling
1821	757	seedling
