count farm field block quadrat
192 1 1 4 1 2
193 0 1 4 1 2
194 1 1 4 1 2
195 0 1 4 1 2
196 0 1 4 1 2
197 1 1 4 1 2
198 0 1 4 1 2
199 0 1 4 1 2
200 1 1 4 1 2
201 1 1 4 2 1
202 1 1 4 2 1
203 2 1 4 2 1
204 0 1 4 2 1
205 0 1 4 2 1
206 0 1 4 2 1
207 0 1 4 2 1
208 0 1 4 2 1
209 0 1 4 2 1
210 0 1 4 2 1
211 1 1 4 2 2
212 0 1 4 2 2
213 4 1 4 2 2
214 0 1 4 2 2
215 0 1 4 2 2
216 0 1 4 2 2
217 0 1 4 2 2
218 1 1 4 2 2
219 0 1 4 2 2
220 0 1 4 2 2
221 2 1 4 3 1
222 0 1 4 3 1
223 0 1 4 3 1
224 0 1 4 3 1
225 1 1 4 3 1
226 1 1 4 3 1
227 1 1 4 3 1
228 3 1 4 3 1
229 0 1 4 3 1
230 2 1 4 3 1
231 1 1 4 3 2
232 0 1 4 3 2
233 0 1 4 3 2
234 1 1 4 3 2
235 1 1 4 3 2
236 1 1 4 3 2
237 0 1 4 3 2
238 0 1 4 3 2
239 0 1 4 3 2
240 1 1 4 3 2
241 2 1 5 1 1
242 0 1 5 1 1
243 0 1 5 1 1
244 2 1 5 1 1
245 0 1 5 1 1
246 1 1 5 1 1
247 0 1 5 1 1
248 1 1 5 1 1
249 0 1 5 1 1
250 0 1 5 1 1
251 0 1 5 1 2
252 0 1 5 1 2
253 1 1 5 1 2
254 3 1 5 1 2
255 0 1 5 1 2
256 0 1 5 1 2
257 0 1 5 1 2
258 2 1 5 1 2
259 0 1 5 1 2
260 1 1 5 1 2
261 2 1 5 2 1
262 1 1 5 2 1
263 0 1 5 2 1
264 0 1 5 2 1
265 2 1 5 2 1
266 0 1 5 2 1
267 0 1 5 2 1
268 1 1 5 2 1
269 0 1 5 2 1
270 1 1 5 2 1
271 0 1 5 2 2
272 0 1 5 2 2
273 0 1 5 2 2
274 0 1 5 2 2
275 2 1 5 2 2
276 0 1 5 2 2
277 1 1 5 2 2
278 1 1 5 2 2
279 3 1 5 2 2
280 0 1 5 2 2
281 1 1 5 3 1
282 2 1 5 3 1
283 2 1 5 3 1
284 1 1 5 3 1
285 0 1 5 3 1
286 0 1 5 3 1
287 0 1 5 3 1
288 0 1 5 3 1
289 1 1 5 3 1
290 0 1 5 3 1
291 0 1 5 3 2
292 0 1 5 3 2
293 0 1 5 3 2
294 0 1 5 3 2
295 0 1 5 3 2
296 0 1 5 3 2
297 0 1 5 3 2
298 1 1 5 3 2
299 0 1 5 3 2
300 0 1 5 3 2
301 0 2 1 1 1
302 4 2 1 1 1
303 0 2 1 1 1
304 0 2 1 1 1
305 1 2 1 1 1
306 0 2 1 1 1
307 1 2 1 1 1
308 0 2 1 1 1
309 1 2 1 1 1
310 2 2 1 1 1
311 2 2 1 1 2
312 0 2 1 1 2
313 0 2 1 1 2
314 0 2 1 1 2
315 0 2 1 1 2
316 0 2 1 1 2
317 0 2 1 1 2
318 0 2 1 1 2
319 1 2 1 1 2
320 0 2 1 1 2
321 0 2 1 2 1
322 0 2 1 2 1
323 1 2 1 2 1
324 0 2 1 2 1
325 0 2 1 2 1
326 0 2 1 2 1
327 1 2 1 2 1
328 1 2 1 2 1
329 1 2 1 2 1
330 2 2 1 2 1
331 1 2 1 2 2
332 1 2 1 2 2
333 2 2 1 2 2
334 0 2 1 2 2
335 1 2 1 2 2
336 4 2 1 2 2
337 3 2 1 2 2
338 1 2 1 2 2
339 1 2 1 2 2
340 0 2 1 2 2
341 0 2 1 3 1
342 1 2 1 3 1
343 0 2 1 3 1
344 1 2 1 3 1
345 0 2 1 3 1
346 3 2 1 3 1
347 0 2 1 3 1
348 0 2 1 3 1
349 0 2 1 3 1
350 0 2 1 3 1
351 0 2 1 3 2
352 0 2 1 3 2
353 0 2 1 3 2
354 0 2 1 3 2
355 0 2 1 3 2
356 0 2 1 3 2
357 2 2 1 3 2
358 1 2 1 3 2
359 0 2 1 3 2
360 1 2 1 3 2
361 0 2 2 1 1
362 1 2 2 1 1
363 1 2 2 1 1
364 0 2 2 1 1
365 5 2 2 1 1
366 0 2 2 1 1
367 0 2 2 1 1
368 0 2 2 1 1
369 0 2 2 1 1
370 0 2 2 1 1
371 0 2 2 1 2
372 1 2 2 1 2
373 1 2 2 1 2
374 1 2 2 1 2
375 0 2 2 1 2
376 0 2 2 1 2
377 0 2 2 1 2
378 0 2 2 1 2
379 0 2 2 1 2
380 1 2 2 1 2
381 1 2 2 2 1
382 0 2 2 2 1
383 2 2 2 2 1
384 0 2 2 2 1
385 2 2 2 2 1
386 0 2 2 2 1
387 1 2 2 2 1
388 2 2 2 2 1
389 0 2 2 2 1
390 2 2 2 2 1
391 0 2 2 2 2
392 0 2 2 2 2
393 1 2 2 2 2
394 0 2 2 2 2
395 1 2 2 2 2
396 0 2 2 2 2
397 2 2 2 2 2
398 2 2 2 2 2
399 0 2 2 2 2
400 1 2 2 2 2
401 3 2 2 3 1
402 0 2 2 3 1
403 0 2 2 3 1
404 1 2 2 3 1
405 2 2 2 3 1
406 1 2 2 3 1
407 2 2 2 3 1
408 0 2 2 3 1
409 0 2 2 3 1
410 1 2 2 3 1
411 0 2 2 3 2
412 0 2 2 3 2
413 0 2 2 3 2
414 0 2 2 3 2
415 1 2 2 3 2
416 2 2 2 3 2
417 1 2 2 3 2
418 0 2 2 3 2
419 2 2 2 3 2
420 2 2 2 3 2
421 1 2 3 1 1
422 0 2 3 1 1
423 0 2 3 1 1
424 0 2 3 1 1
425 0 2 3 1 1
426 0 2 3 1 1
427 2 2 3 1 1
428 0 2 3 1 1
429 1 2 3 1 1
430 0 2 3 1 1
431 0 2 3 1 2
432 0 2 3 1 2
433 2 2 3 1 2
434 0 2 3 1 2
435 2 2 3 1 2
436 0 2 3 1 2
437 2 2 3 1 2
438 0 2 3 1 2
439 0 2 3 1 2
440 0 2 3 1 2
441 0 2 3 2 1
442 1 2 3 2 1
443 1 2 3 2 1
444 1 2 3 2 1
445 2 2 3 2 1
446 1 2 3 2 1
447 0 2 3 2 1
448 0 2 3 2 1
449 0 2 3 2 1
450 2 2 3 2 1
451 0 2 3 2 2
452 1 2 3 2 2
453 3 2 3 2 2
454 5 2 3 2 2
455 0 2 3 2 2
456 0 2 3 2 2
457 0 2 3 2 2
458 1 2 3 2 2
459 0 2 3 2 2
460 1 2 3 2 2
461 1 2 3 3 1
462 1 2 3 3 1
463 2 2 3 3 1
464 3 2 3 3 1
465 0 2 3 3 1
466 0 2 3 3 1
467 1 2 3 3 1
468 0 2 3 3 1
469 0 2 3 3 1
470 0 2 3 3 1
471 3 2 3 3 2
472 1 2 3 3 2
473 1 2 3 3 2
474 0 2 3 3 2
475 1 2 3 3 2
476 2 2 3 3 2
477 1 2 3 3 2
478 1 2 3 3 2
479 0 2 3 3 2
480 0 2 3 3 2
481 0 2 4 1 1
482 5 2 4 1 1
483 3 2 4 1 1
484 1 2 4 1 1
485 0 2 4 1 1
486 0 2 4 1 1
487 0 2 4 1 1
488 2 2 4 1 1
489 0 2 4 1 1
490 1 2 4 1 1
491 4 2 4 1 2
492 0 2 4 1 2
493 0 2 4 1 2
494 0 2 4 1 2
495 3 2 4 1 2
496 1 2 4 1 2
497 3 2 4 1 2
498 3 2 4 1 2
499 4 2 4 1 2
500 0 2 4 1 2
501 1 2 4 2 1
502 2 2 4 2 1
503 0 2 4 2 1
504 0 2 4 2 1
505 1 2 4 2 1
506 0 2 4 2 1
507 0 2 4 2 1
508 1 2 4 2 1
509 0 2 4 2 1
510 0 2 4 2 1
511 2 2 4 2 2
512 5 2 4 2 2
513 1 2 4 2 2
514 0 2 4 2 2
515 1 2 4 2 2
516 2 2 4 2 2
517 0 2 4 2 2
518 2 2 4 2 2
519 6 2 4 2 2
520 0 2 4 2 2
521 0 2 4 3 1
522 0 2 4 3 1
523 2 2 4 3 1
524 0 2 4 3 1
525 0 2 4 3 1
526 0 2 4 3 1
527 0 2 4 3 1
528 0 2 4 3 1
529 0 2 4 3 1
530 0 2 4 3 1
531 3 2 4 3 2
532 3 2 4 3 2
533 0 2 4 3 2
534 2 2 4 3 2
535 2 2 4 3 2
536 4 2 4 3 2
537 1 2 4 3 2
538 1 2 4 3 2
539 0 2 4 3 2
540 0 2 4 3 2
541 2 2 5 1 1
542 4 2 5 1 1
543 0 2 5 1 1
544 0 2 5 1 1
545 1 2 5 1 1
546 2 2 5 1 1
547 1 2 5 1 1
548 3 2 5 1 1
549 0 2 5 1 1
550 2 2 5 1 1
551 1 2 5 1 2
552 4 2 5 1 2
553 4 2 5 1 2
554 0 2 5 1 2
555 0 2 5 1 2
556 0 2 5 1 2
557 0 2 5 1 2
558 1 2 5 1 2
559 0 2 5 1 2
560 2 2 5 1 2
561 0 2 5 2 1
562 0 2 5 2 1
563 0 2 5 2 1
564 0 2 5 2 1
565 1 2 5 2 1
566 0 2 5 2 1
567 0 2 5 2 1
568 2 2 5 2 1
569 0 2 5 2 1
570 3 2 5 2 1
571 2 2 5 2 2
572 1 2 5 2 2
573 3 2 5 2 2
574 1 2 5 2 2
575 2 2 5 2 2
576 1 2 5 2 2
577 0 2 5 2 2
578 3 2 5 2 2
579 2 2 5 2 2
580 0 2 5 2 2
581 0 2 5 3 1
582 1 2 5 3 1
583 2 2 5 3 1
584 1 2 5 3 1
585 0 2 5 3 1
586 0 2 5 3 1
587 0 2 5 3 1
588 0 2 5 3 1
589 0 2 5 3 1
590 0 2 5 3 1
591 4 2 5 3 2
592 1 2 5 3 2
593 4 2 5 3 2
594 0 2 5 3 2
595 2 2 5 3 2
596 2 2 5 3 2
597 0 2 5 3 2
598 2 2 5 3 2
599 0 2 5 3 2
600 1 2 5 3 2
601 1 3 1 1 1
602 0 3 1 1 1
603 0 3 1 1 1
604 1 3 1 1 1
605 0 3 1 1 1
606 1 3 1 1 1
607 0 3 1 1 1
608 0 3 1 1 1
609 3 3 1 1 1
610 1 3 1 1 1
611 0 3 1 1 2
612 1 3 1 1 2
613 2 3 1 1 2
614 1 3 1 1 2
615 2 3 1 1 2
616 0 3 1 1 2
617 0 3 1 1 2
618 0 3 1 1 2
619 1 3 1 1 2
620 0 3 1 1 2
621 1 3 1 2 1
622 0 3 1 2 1
623 0 3 1 2 1
624 0 3 1 2 1
625 2 3 1 2 1
626 1 3 1 2 1
627 0 3 1 2 1
628 1 3 1 2 1
629 1 3 1 2 1
630 0 3 1 2 1
631 0 3 1 2 2
632 0 3 1 2 2
633 2 3 1 2 2
634 0 3 1 2 2
635 1 3 1 2 2
636 0 3 1 2 2
637 0 3 1 2 2
638 3 3 1 2 2
639 0 3 1 2 2
640 4 3 1 2 2
641 0 3 1 3 1
642 0 3 1 3 1
643 0 3 1 3 1
644 0 3 1 3 1
645 4 3 1 3 1
646 0 3 1 3 1
647 6 3 1 3 1
648 0 3 1 3 1
649 0 3 1 3 1
650 4 3 1 3 1
651 0 3 1 3 2
652 0 3 1 3 2
653 0 3 1 3 2
654 0 3 1 3 2
655 0 3 1 3 2
656 0 3 1 3 2
657 3 3 1 3 2
658 2 3 1 3 2
659 1 3 1 3 2
660 1 3 1 3 2
661 0 3 2 1 1
662 0 3 2 1 1
663 4 3 2 1 1
664 3 3 2 1 1
665 0 3 2 1 1
666 0 3 2 1 1
667 1 3 2 1 1
668 0 3 2 1 1
669 3 3 2 1 1
670 0 3 2 1 1
671 0 3 2 1 2
672 0 3 2 1 2
673 4 3 2 1 2
674 1 3 2 1 2
675 0 3 2 1 2
676 3 3 2 1 2
677 3 3 2 1 2
678 2 3 2 1 2
679 0 3 2 1 2
680 0 3 2 1 2
681 1 3 2 2 1
682 3 3 2 2 1
683 0 3 2 2 1
684 0 3 2 2 1
685 0 3 2 2 1
686 1 3 2 2 1
687 0 3 2 2 1
688 0 3 2 2 1
689 5 3 2 2 1
690 2 3 2 2 1
691 0 3 2 2 2
692 0 3 2 2 2
693 1 3 2 2 2
694 2 3 2 2 2
695 1 3 2 2 2
696 2 3 2 2 2
697 0 3 2 2 2
698 0 3 2 2 2
699 0 3 2 2 2
700 1 3 2 2 2
701 0 3 2 3 1
702 0 3 2 3 1
703 0 3 2 3 1
704 0 3 2 3 1
705 0 3 2 3 1
706 0 3 2 3 1
707 0 3 2 3 1
708 0 3 2 3 1
709 1 3 2 3 1
710 3 3 2 3 1
711 0 3 2 3 2
712 0 3 2 3 2
713 1 3 2 3 2
714 0 3 2 3 2
715 0 3 2 3 2
716 3 3 2 3 2
717 1 3 2 3 2
718 0 3 2 3 2
719 2 3 2 3 2
720 1 3 2 3 2
721 6 3 3 1 1
722 1 3 3 1 1
723 0 3 3 1 1
724 0 3 3 1 1
725 2 3 3 1 1
726 4 3 3 1 1
727 0 3 3 1 1
728 0 3 3 1 1
729 2 3 3 1 1
730 5 3 3 1 1
731 2 3 3 1 2
732 2 3 3 1 2
733 1 3 3 1 2
734 9 3 3 1 2
735 2 3 3 1 2
736 3 3 3 1 2
737 2 3 3 1 2
738 9 3 3 1 2
739 5 3 3 1 2
740 2 3 3 1 2
741 0 3 3 2 1
742 0 3 3 2 1
743 0 3 3 2 1
744 1 3 3 2 1
745 5 3 3 2 1
746 0 3 3 2 1
747 2 3 3 2 1
748 1 3 3 2 1
749 1 3 3 2 1
750 1 3 3 2 1
751 0 3 3 2 2
752 1 3 3 2 2
753 1 3 3 2 2
754 1 3 3 2 2
755 0 3 3 2 2
756 1 3 3 2 2
757 4 3 3 2 2
758 0 3 3 2 2
759 1 3 3 2 2
760 6 3 3 2 2
761 1 3 3 3 1
762 1 3 3 3 1
763 1 3 3 3 1
764 1 3 3 3 1
765 0 3 3 3 1
766 1 3 3 3 1
767 0 3 3 3 1
768 0 3 3 3 1
769 1 3 3 3 1
770 0 3 3 3 1
771 0 3 3 3 2
772 6 3 3 3 2
773 1 3 3 3 2
774 0 3 3 3 2
775 0 3 3 3 2
776 0 3 3 3 2
777 0 3 3 3 2
778 1 3 3 3 2
779 0 3 3 3 2
780 3 3 3 3 2
781 4 3 4 1 1
782 1 3 4 1 1
783 1 3 4 1 1
784 1 3 4 1 1
785 3 3 4 1 1
786 0 3 4 1 1
787 0 3 4 1 1
788 0 3 4 1 1
789 5 3 4 1 1
790 0 3 4 1 1
791 0 3 4 1 2
792 1 3 4 1 2
793 0 3 4 1 2
794 4 3 4 1 2
795 0 3 4 1 2
796 1 3 4 1 2
797 2 3 4 1 2
798 1 3 4 1 2
799 4 3 4 1 2
800 3 3 4 1 2
801 2 3 4 2 1
802 0 3 4 2 1
803 2 3 4 2 1
804 3 3 4 2 1
805 1 3 4 2 1
806 0 3 4 2 1
807 0 3 4 2 1
808 0 3 4 2 1
809 0 3 4 2 1
810 3 3 4 2 1
811 1 3 4 2 2
812 2 3 4 2 2
813 0 3 4 2 2
814 7 3 4 2 2
815 0 3 4 2 2
816 1 3 4 2 2
817 1 3 4 2 2
818 2 3 4 2 2
819 1 3 4 2 2
820 1 3 4 2 2
821 3 3 4 3 1
822 0 3 4 3 1
823 1 3 4 3 1
824 0 3 4 3 1
825 0 3 4 3 1
826 1 3 4 3 1
827 0 3 4 3 1
828 1 3 4 3 1
829 0 3 4 3 1
830 1 3 4 3 1
831 0 3 4 3 2
832 0 3 4 3 2
833 2 3 4 3 2
834 0 3 4 3 2
835 1 3 4 3 2
836 2 3 4 3 2
837 1 3 4 3 2
838 3 3 4 3 2
839 0 3 4 3 2
840 1 3 4 3 2
841 2 3 5 1 1
842 1 3 5 1 1
843 1 3 5 1 1
844 7 3 5 1 1
845 0 3 5 1 1
846 2 3 5 1 1
847 0 3 5 1 1
848 0 3 5 1 1
849 0 3 5 1 1
850 2 3 5 1 1
851 1 3 5 1 2
852 1 3 5 1 2
853 2 3 5 1 2
854 2 3 5 1 2
855 0 3 5 1 2
856 6 3 5 1 2
857 8 3 5 1 2
858 2 3 5 1 2
859 0 3 5 1 2
860 5 3 5 1 2
861 3 3 5 2 1
862 0 3 5 2 1
863 1 3 5 2 1
864 0 3 5 2 1
865 5 3 5 2 1
866 0 3 5 2 1
867 0 3 5 2 1
868 0 3 5 2 1
869 0 3 5 2 1
870 1 3 5 2 1
871 0 3 5 2 2
872 0 3 5 2 2
873 1 3 5 2 2
874 0 3 5 2 2
875 2 3 5 2 2
876 1 3 5 2 2
877 4 3 5 2 2
878 0 3 5 2 2
879 6 3 5 2 2
880 1 3 5 2 2
881 1 3 5 3 1
882 1 3 5 3 1
883 0 3 5 3 1
884 2 3 5 3 1
885 0 3 5 3 1
886 3 3 5 3 1
887 0 3 5 3 1
888 1 3 5 3 1
889 1 3 5 3 1
890 2 3 5 3 1
891 0 3 5 3 2
892 0 3 5 3 2
893 0 3 5 3 2
894 1 3 5 3 2
895 0 3 5 3 2
896 0 3 5 3 2
897 2 3 5 3 2
898 2 3 5 3 2
899 0 3 5 3 2
900 0 3 5 3 2
901 0 4 1 1 1
902 0 4 1 1 1
903 0 4 1 1 1
904 1 4 1 1 1
905 0 4 1 1 1
906 0 4 1 1 1
907 0 4 1 1 1
908 0 4 1 1 1
909 1 4 1 1 1
910 0 4 1 1 1
911 3 4 1 1 2
912 1 4 1 1 2
913 0 4 1 1 2
914 0 4 1 1 2
915 0 4 1 1 2
916 6 4 1 1 2
917 0 4 1 1 2
918 1 4 1 1 2
919 2 4 1 1 2
920 4 4 1 1 2
921 0 4 1 2 1
922 4 4 1 2 1
923 0 4 1 2 1
924 1 4 1 2 1
925 7 4 1 2 1
926 6 4 1 2 1
927 3 4 1 2 1
928 0 4 1 2 1
929 1 4 1 2 1
930 3 4 1 2 1
931 4 4 1 2 2
932 6 4 1 2 2
933 0 4 1 2 2
934 0 4 1 2 2
935 0 4 1 2 2
936 0 4 1 2 2
937 3 4 1 2 2
938 0 4 1 2 2
939 3 4 1 2 2
940 6 4 1 2 2
941 0 4 1 3 1
942 0 4 1 3 1
943 1 4 1 3 1
944 1 4 1 3 1
945 1 4 1 3 1
946 1 4 1 3 1
947 1 4 1 3 1
948 2 4 1 3 1
949 0 4 1 3 1
950 0 4 1 3 1
951 5 4 1 3 2
952 0 4 1 3 2
953 2 4 1 3 2
954 2 4 1 3 2
955 3 4 1 3 2
956 2 4 1 3 2
957 2 4 1 3 2
958 0 4 1 3 2
959 1 4 1 3 2
960 0 4 1 3 2
961 0 4 2 1 1
962 0 4 2 1 1
963 0 4 2 1 1
964 5 4 2 1 1
965 1 4 2 1 1
966 6 4 2 1 1
967 2 4 2 1 1
968 4 4 2 1 1
969 4 4 2 1 1
970 0 4 2 1 1
971 3 4 2 1 2
972 1 4 2 1 2
973 7 4 2 1 2
974 0 4 2 1 2
975 1 4 2 1 2
976 3 4 2 1 2
977 0 4 2 1 2
978 10 4 2 1 2
979 4 4 2 1 2
980 1 4 2 1 2
981 1 4 2 2 1
982 1 4 2 2 1
983 0 4 2 2 1
984 7 4 2 2 1
985 0 4 2 2 1
986 4 4 2 2 1
987 0 4 2 2 1
988 1 4 2 2 1
989 1 4 2 2 1
990 0 4 2 2 1
991 10 4 2 2 2
992 1 4 2 2 2
993 6 4 2 2 2
994 0 4 2 2 2
995 0 4 2 2 2
996 0 4 2 2 2
997 0 4 2 2 2
998 3 4 2 2 2
999 0 4 2 2 2
1000 4 4 2 2 2
1001 0 4 2 3 1
1002 1 4 2 3 1
1003 1 4 2 3 1
1004 7 4 2 3 1
1005 1 4 2 3 1
1006 1 4 2 3 1
1007 1 4 2 3 1
1008 0 4 2 3 1
1009 3 4 2 3 1
1010 7 4 2 3 1
1011 0 4 2 3 2
1012 0 4 2 3 2
1013 0 4 2 3 2
1014 4 4 2 3 2
1015 2 4 2 3 2
1016 8 4 2 3 2
1017 3 4 2 3 2
1018 2 4 2 3 2
1019 1 4 2 3 2
1020 0 4 2 3 2
1021 5 4 3 1 1
1022 1 4 3 1 1
1023 0 4 3 1 1
1024 0 4 3 1 1
1025 1 4 3 1 1
1026 0 4 3 1 1
1027 5 4 3 1 1
1028 6 4 3 1 1
1029 2 4 3 1 1
1030 4 4 3 1 1
1031 0 4 3 1 2
1032 2 4 3 1 2
1033 1 4 3 1 2
1034 1 4 3 1 2
1035 2 4 3 1 2
1036 0 4 3 1 2
1037 0 4 3 1 2
1038 0 4 3 1 2
1039 4 4 3 1 2
1040 0 4 3 1 2
1041 0 4 3 2 1
1042 0 4 3 2 1
1043 0 4 3 2 1
1044 2 4 3 2 1
1045 0 4 3 2 1
1046 3 4 3 2 1
1047 0 4 3 2 1
1048 1 4 3 2 1
1049 1 4 3 2 1
1050 0 4 3 2 1
1051 2 4 3 2 2
1052 1 4 3 2 2
1053 3 4 3 2 2
1054 0 4 3 2 2
1055 0 4 3 2 2
1056 2 4 3 2 2
1057 6 4 3 2 2
1058 2 4 3 2 2
1059 4 4 3 2 2
1060 2 4 3 2 2
1061 0 4 3 3 1
1062 10 4 3 3 1
1063 0 4 3 3 1
1064 4 4 3 3 1
1065 6 4 3 3 1
1066 1 4 3 3 1
1067 6 4 3 3 1
1068 1 4 3 3 1
1069 1 4 3 3 1
1070 1 4 3 3 1
1071 3 4 3 3 2
1072 1 4 3 3 2
1073 4 4 3 3 2
1074 3 4 3 3 2
1075 2 4 3 3 2
1076 0 4 3 3 2
1077 0 4 3 3 2
1078 0 4 3 3 2
1079 2 4 3 3 2
1080 0 4 3 3 2
1081 1 4 4 1 1
1082 2 4 4 1 1
1083 0 4 4 1 1
1084 0 4 4 1 1
1085 0 4 4 1 1
1086 3 4 4 1 1
1087 0 4 4 1 1
1088 0 4 4 1 1
1089 2 4 4 1 1
1090 0 4 4 1 1
1091 1 4 4 1 2
1092 2 4 4 1 2
1093 0 4 4 1 2
1094 1 4 4 1 2
1095 3 4 4 1 2
1096 2 4 4 1 2
1097 0 4 4 1 2
1098 0 4 4 1 2
1099 2 4 4 1 2
1100 0 4 4 1 2
1101 1 4 4 2 1
1102 2 4 4 2 1
1103 5 4 4 2 1
1104 0 4 4 2 1
1105 1 4 4 2 1
1106 7 4 4 2 1
1107 0 4 4 2 1
1108 0 4 4 2 1
1109 0 4 4 2 1
1110 8 4 4 2 1
1111 2 4 4 2 2
1112 2 4 4 2 2
1113 0 4 4 2 2
1114 3 4 4 2 2
1115 0 4 4 2 2
1116 0 4 4 2 2
1117 2 4 4 2 2
1118 1 4 4 2 2
1119 2 4 4 2 2
1120 1 4 4 2 2
1121 1 4 4 3 1
1122 5 4 4 3 1
1123 0 4 4 3 1
1124 0 4 4 3 1
1125 0 4 4 3 1
1126 6 4 4 3 1
1127 3 4 4 3 1
1128 0 4 4 3 1
1129 0 4 4 3 1
1130 0 4 4 3 1
1131 4 4 4 3 2
1132 0 4 4 3 2
1133 0 4 4 3 2
1134 3 4 4 3 2
1135 0 4 4 3 2
1136 1 4 4 3 2
1137 5 4 4 3 2
1138 0 4 4 3 2
1139 1 4 4 3 2
1140 2 4 4 3 2
1141 0 4 5 1 1
1142 0 4 5 1 1
1143 1 4 5 1 1
1144 2 4 5 1 1
1145 4 4 5 1 1
1146 0 4 5 1 1
1147 0 4 5 1 1
1148 0 4 5 1 1
1149 7 4 5 1 1
1150 4 4 5 1 1
1151 0 4 5 1 2
1152 2 4 5 1 2
